=== 심볼별 원본 데이터 ===
symbol,tf,detectionVer,boxes,modelId,label,total,wins,losses,partials,winRate%,avgPnl%,totalPnl%,profitFactor,tradeFreq,score
AMZN,1h,V2+,116,8,"⑧ V2+분할익절",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
AMZN,1h,V2+,116,9,"⑨ V2+거래량필터",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
AMZN,1h,V2+,116,10,"⑩ V2+확인캔들",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
AMZN,1h,V2+,116,11,"⑪ V2+전체조합",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
AMZN,1d,V1,2134,1,"① Legacy",5227,3476,1751,0,66.50,0.2373,1240.6171,1.584,2.449,46
AMZN,1d,V1,2134,2,"② PRO v2 재진입↑",8528,7594,934,0,89.05,1.0104,8616.7761,3.690,3.996,74
AMZN,1d,V1,2134,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
AMZN,1d,V1,2134,4,"④ TF분리",8528,7594,934,0,89.05,1.0104,8616.7761,3.690,3.996,74
AMZN,1d,V1,2134,5,"⑤ TF분리+상한3",4573,3974,599,0,86.90,1.3122,6000.8045,4.110,2.143,81
AMZN,1d,V1,2134,6,"⑥ +dipLow버퍼",4851,4507,344,0,92.91,1.2584,6104.6064,2.975,2.273,73
AMZN,1d,V1,2134,7,"⑦ 풀최적화(V1)",4851,4507,344,0,92.91,1.2584,6104.6064,2.975,2.273,73
AMZN,1d,V2+,859,8,"⑧ V2+분할익절",1294,1191,103,403,92.04,2.5856,3345.7772,5.036,1.506,100
AMZN,1d,V2+,859,9,"⑨ V2+거래량필터",1543,1313,230,0,85.09,2.4695,3810.3620,2.784,1.796,91
AMZN,1d,V2+,859,10,"⑩ V2+확인캔들",1680,1546,134,0,92.02,3.4349,5770.5665,4.758,1.956,100
AMZN,1d,V2+,859,11,"⑪ V2+전체조합",1450,1408,42,266,97.10,3.5037,5080.3801,10.147,1.688,100
GOOGL,1h,V1,137,1,"① Legacy",242,128,114,0,52.89,0.0046,1.1107,1.013,1.766,29
GOOGL,1h,V1,137,2,"② PRO v2 재진입↑",222,125,97,0,56.31,0.4029,89.4398,1.849,1.620,44
GOOGL,1h,V1,137,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V1,137,4,"④ TF분리",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V1,137,5,"⑤ TF분리+상한3",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V1,137,6,"⑥ +dipLow버퍼",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V1,137,7,"⑦ 풀최적화(V1)",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V2+,119,8,"⑧ V2+분할익절",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V2+,119,9,"⑨ V2+거래량필터",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V2+,119,10,"⑩ V2+확인캔들",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1h,V2+,119,11,"⑪ V2+전체조합",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
GOOGL,1d,V1,1914,1,"① Legacy",4525,2957,1568,0,65.35,0.1374,621.7557,1.441,2.364,42
GOOGL,1d,V1,1914,2,"② PRO v2 재진입↑",8174,7339,835,0,89.78,0.6163,5038.0250,3.605,4.271,67
